-ford,浅瀬,アサセ
adoption,採用,サイヨウ
adoption,採択,サイタク
adoption,養子縁組,ヨウシエングミ
adoration,崇拝,スウハイ
adoration,礼拝,レイハイ
adoration,敬愛,ケイアイ
adoration,愛慕,アイボ
adorer,礼拝者,レイハイシャ
adorer,崇拝者,スウハイシャ
adorer,賛美者,サンビシャ
adorer,熱愛者,ネツアイシャ
adornment,装飾,ソウショク
adornment,装飾品,ソウショクヒン
adrenalin[e],アドレナリン,アドレナリン
adrenalin[e],アドレナリン剤,アドレナリンザイ
adsorbate,吸着物,キュウチャクブツ
adulator,おべっか使い,オベッカヅカイ
adult,おとな,オトナ
adult,成人,セイジン
adulteration,粗悪品,ソアクヒン
adulterer,姦通者,カンツウシャ
adulterer,姦夫,カンプ
adulterer,間男,マオトコ
adulteress,姦婦,カンプ
adultery,姦通,カンツウ
adultery,不義,フギ
adulthood,成年期,セイネンキ
adumbration,予示,予示
adumbration,前兆,ゼンチョウ
advancement,進歩,シンポ
advancement,発達,ハッタツ
advancement,促進,ソクシン
advancement,振興,シンコウ
advancement,昇進,ショウシン
advancement,進級,シンキュウ
advent,出現,シュツゲン
advent,到来,トウライ
advent,降臨節,コウリンブシ
Adventist,キリスト再臨論者,キリストサイリンロンシャ
adventurer,冒険家,ボウケンカ
adventurer,投機家,トウキカ
adventuress,女性冒険家,ジョセイボウケンカ
adverb,副詞,フクシ
adversary,敵,テキ
adversary,対抗者,タイコウシャ
adversity,逆境,ギャッキョウ
advertisement,広告,コウコク
advertisement,宣伝,センデン
advertiser,広告者,コウコクシャ
advertiser,広告主,コウコクヌシ
advertising,広告,コウコク
advertising,広告業,コウコクギョウ
advice,忠告,チュウコク
advice,助言,ジョゲン
advice,意見,イケン
advice,指示,シジ
advice,通知,ツウチ
advice,報道,ホウドウ
advice,報告,ホウコク
advisability,適否,テキヒ
advisability,得策,トクサク
advisement,熟慮,ジュクリョ
advisement,熟考,ジュッコウ
advocacy,弁護,ベンゴ
advocacy,擁護,ヨウゴ
advocacy,唱道,ショウドウ
adze,手おの,テオノ
aegis,保護,ホゴ
aegis,援助,エンジョ
Aeneas,アイネアス,アイネアス
aeration,曝気,曝気
aerator,通気装置,ツウキソウチ
aerator,煙消毒装置,ケムリショウドクソウチ
aerial,アンテナ,アンテナ
aerialist,空中曲芸師,クウチュウキョクゲイシ
aerobatics,曲芸飛行術,キョクゲイヒコウジュツ
aerobe,好気性生物,コウキショウセイブツ
aerodynamics,空気力学,クウキリキガク
aerodynamics,航空力学,コウクウリキガク
aerology,高層気象学,コウソウキショウガク
aeronautics,航空学,コウクウガク
aeronautics,飛行術,ヒコウジュツ
aerosol,煙霧質,エンムシツ
aerospace,気圏,キケン
aerospace,航空宇宙,コウクウウチュウ
aertex,エアテックス,エアテックス
Aeschylus,アイスキュロス,アイスキュロス
Aesop,イソップ,イソップ
aesthete,唯美主義者,ユイビシュギシャ
aesthetics,美学,ビガク
affair,事,コト
affair,事柄,コトガラ
affair,事件,ジケン
affair,仕事,シゴト
affair,業務,ギョウム
affair,物,モノ
affair,恋愛事件,レンアイジケン
affair,情事,ジョウジ
affectation,見せかけ,ミセカケ
affection,愛情,アイジョウ
affection,好意,コウイ
affection,病気,ビョウキ
affidavit,宣誓供述書,センセイキョウジュツショ
affiliation,加入,カニュウ
affiliation,加盟,カメイ
affiliation,同盟,ドウメイ
affiliation,合同,ゴウドウ
affiliation,提携,テイケイ
affinity,好み,コノミ
affinity,親近感,シンキンカン
